Freq.	V(n001)/I(V1)
2.20459751950391e+04	-2.61371484206011e+01,3.94987288079272e+00
2.21479935987198e+04	-2.61352125151687e+01,3.93178196723134e+00
2.22500120024006e+04	-2.61333030781671e+01,3.91385554832001e+00
2.23520304060813e+04	-2.61314196297157e+01,3.89609139702605e+00
2.24540488097620e+04	-2.61295617007501e+01,3.87848732622237e+00
2.25560672134428e+04	-2.61277288327316e+01,3.86104118780026e+00
2.26580856171235e+04	-2.61259205773649e+01,3.84375087180558e+00
2.27601040208043e+04	-2.61241364963252e+01,3.82661430559778e+00
2.28621224244850e+04	-2.61223761609934e+01,3.80962945303116e+00
2.29641408281657e+04	-2.61206391521996e+01,3.79279431365724e+00
2.30661592318465e+04	-2.61189250599742e+01,3.77610692194810e+00
2.31681776355272e+04	-2.61172334833075e+01,3.75956534653984e+00
2.32701960392079e+04	-2.61155640299152e+01,3.74316768949552e+00
2.33722144428887e+04	-2.61139163160121e+01,3.72691208558705e+00
2.34742328465694e+04	-2.61122899660925e+01,3.71079670159546e+00
2.35762512502501e+04	-2.61106846127163e+01,3.69481973562901e+00
2.36782696539309e+04	-2.61090998963030e+01,3.67897941645865e+00
2.37802880576116e+04	-2.61075354649302e+01,3.66327400287024e+00
2.38823064612924e+04	-2.61059909741396e+01,3.64770178303308e+00
2.39843248649731e+04	-2.61044660867473e+01,3.63226107388428e+00
2.40863432686538e+04	-2.61029604726609e+01,3.61695022052852e+00
2.41883616723346e+04	-2.61014738087012e+01,3.60176759565268e+00
2.42903800760153e+04	-2.61000057784291e+01,3.58671159895503e+00
2.43923984796960e+04	-2.60985560719784e+01,3.57178065658859e+00
2.44944168833768e+04	-2.60971243858919e+01,3.55697322061782e+00
2.45964352870575e+04	-2.60957104229639e+01,3.54228776848916e+00
2.46984536907382e+04	-2.60943138920860e+01,3.52772280251378e+00
2.48004720944190e+04	-2.60929345080977e+01,3.51327684936369e+00
2.49024904980997e+04	-2.60915719916413e+01,3.49894845957926e+00
2.50045089017805e+04	-2.60902260690212e+01,3.48473620708914e+00
2.51065273054612e+04	-2.60888964720664e+01,3.47063868874145e+00
2.52085457091419e+04	-2.60875829379974e+01,3.45665452384632e+00
2.53105641128227e+04	-2.60862852092972e+01,3.44278235372910e+00
2.54125825165034e+04	-2.60850030335848e+01,3.42902084129438e+00
2.55146009201841e+04	-2.60837361634931e+01,3.41536867060023e+00
2.56166193238649e+04	-2.60824843565501e+01,3.40182454644249e+00
2.57186377275456e+04	-2.60812473750631e+01,3.38838719394866e+00
2.58206561312264e+04	-2.60800249860059e+01,3.37505535818145e+00
2.59226745349071e+04	-2.60788169609098e+01,3.36182780375150e+00
2.60246929385878e+04	-2.60776230757569e+01,3.34870331443906e+00
2.61267113422686e+04	-2.60764431108764e+01,3.33568069282434e+00
2.62287297459493e+04	-2.60752768508444e+01,3.32275875992643e+00
2.63307481496300e+04	-2.60741240843849e+01,3.30993635485060e+00
2.64327665533108e+04	-2.60729846042752e+01,3.29721233444338e+00
2.65347849569915e+04	-2.60718582072527e+01,3.28458557295571e+00
2.66368033606722e+04	-2.60707446939245e+01,3.27205496171367e+00
2.67388217643530e+04	-2.60696438686791e+01,3.25961940879654e+00
2.68408401680337e+04	-2.60685555396014e+01,3.24727783872230e+00
2.69428585717145e+04	-2.60674795183887e+01,3.23502919213993e+00
2.70448769753952e+04	-2.60664156202695e+01,3.22287242552885e+00
2.71468953790759e+04	-2.60653636639247e+01,3.21080651090468e+00
2.72489137827567e+04	-2.60643234714103e+01,3.19883043553203e+00
2.73509321864374e+04	-2.60632948680823e+01,3.18694320164307e+00
2.74529505901181e+04	-2.60622776825236e+01,3.17514382616278e+00
2.75549689937989e+04	-2.60612717464730e+01,3.16343134043984e+00
2.76569873974796e+04	-2.60602768947553e+01,3.15180478998368e+00
2.77590058011604e+04	-2.60592929652142e+01,3.14026323420709e+00
2.78610242048411e+04	-2.60583197986461e+01,3.12880574617445e+00
2.79630426085218e+04	-2.60573572387357e+01,3.11743141235545e+00
2.80650610122026e+04	-2.60564051319938e+01,3.10613933238405e+00
2.81670794158833e+04	-2.60554633276958e+01,3.09492861882265e+00
2.82690978195640e+04	-2.60545316778225e+01,3.08379839693125e+00
2.83711162232448e+04	-2.60536100370019e+01,3.07274780444164e+00
2.84731346269255e+04	-2.60526982624527e+01,3.06177599133623e+00
2.85751530306062e+04	-2.60517962139293e+01,3.05088211963163e+00
2.86771714342870e+04	-2.60509037536676e+01,3.04006536316701e+00
2.87791898379677e+04	-2.60500207463327e+01,3.02932490739646e+00
2.88812082416485e+04	-2.60491470589680e+01,3.01865994918595e+00
2.89832266453292e+04	-2.60482825609446e+01,3.00806969661474e+00
2.90852450490099e+04	-2.60474271239132e+01,2.99755336878047e+00
2.91872634526907e+04	-2.60465806217564e+01,2.98711019560866e+00
2.92892818563714e+04	-2.60457429305422e+01,2.97673941766582e+00
2.93913002600521e+04	-2.60449139284787e+01,2.96644028597688e+00
2.94933186637329e+04	-2.60440934958700e+01,2.95621206184575e+00
2.95953370674136e+04	-2.60432815150732e+01,2.94605401668019e+00
2.96973554710944e+04	-2.60424778704562e+01,2.93596543181967e+00
2.97993738747751e+04	-2.60416824483566e+01,2.92594559836709e+00
2.99013922784558e+04	-2.60408951370417e+01,2.91599381702387e+00
3.00034106821366e+04	-2.60401158266691e+01,2.90610939792822e+00
3.01054290858173e+04	-2.60393444092487e+01,2.89629166049673e+00
3.02074474894980e+04	-2.60385807786055e+01,2.88653993326924e+00
3.03094658931788e+04	-2.60378248303426e+01,2.87685355375663e+00
3.04114842968595e+04	-2.60370764618063e+01,2.86723186829178e+00
3.05135027005402e+04	-2.60363355720506e+01,2.85767423188343e+00
3.06155211042210e+04	-2.60356020618037e+01,2.84818000807295e+00
3.07175395079017e+04	-2.60348758334348e+01,2.83874856879380e+00
3.08195579115825e+04	-2.60341567909214e+01,2.82937929423413e+00
3.09215763152632e+04	-2.60334448398180e+01,2.82007157270155e+00
3.10235947189439e+04	-2.60327398872246e+01,2.81082480049090e+00
3.11256131226247e+04	-2.60320418417570e+01,2.80163838175468e+00
3.12276315263054e+04	-2.60313506135171e+01,2.79251172837539e+00
3.13296499299861e+04	-2.60306661140638e+01,2.78344425984129e+00
3.14316683336669e+04	-2.60299882563847e+01,2.77443540312356e+00
3.15336867373476e+04	-2.60293169548691e+01,2.76548459255655e+00
3.16357051410284e+04	-2.60286521252804e+01,2.75659126972012e+00
3.17377235447091e+04	-2.60279936847299e+01,2.74775488332384e+00
3.18397419483898e+04	-2.60273415516510e+01,2.73897488909408e+00
3.19417603520706e+04	-2.60266956457743e+01,2.73025074966270e+00
3.20437787557513e+04	-2.60260558881024e+01,2.72158193445802e+00
3.21457971594320e+04	-2.60254222008862e+01,2.71296791959801e+00
3.22478155631128e+04	-2.60247945076010e+01,2.70440818778513e+00
3.23498339667935e+04	-2.60241727329240e+01,2.69590222820350e+00
3.24518523704742e+04	-2.60235568027110e+01,2.68744953641777e+00
3.25538707741550e+04	-2.60229466439748e+01,2.67904961427396e+00
3.26558891778357e+04	-2.60223421848636e+01,2.67070196980216e+00
3.27579075815165e+04	-2.60217433546397e+01,2.66240611712090e+00
