zero_absz,zero_frequency,zero_phasez,one_absz,one_frequency,one_phasez,two_absz,two_frequency,two_phasez,three_absz,three_frequency,three_phasez,four_absz,four_frequency,four_phasez,five_absz,five_frequency,five_phasez
996.428,10.6721292070233,0.004040624421977494,99.9162,10.6721292070233,0.002139882773254599,1006050,10.6721292070233,-0.012810018496196406,99.9068,10.6721292070233,-0.3928565336405808,40.3621,10.6721292070233,0.8059109754751134,3.86896,20.8465215223441,1.154550064234268
996.443,10.6952951028916,0.00332059409041454,99.9162,10.6952951028916,0.001579111790426208,1006050,10.6952951028916,-0.013460841255685507,99.9062,10.6952951028916,-0.3943611208105943,40.3624,10.6952951028916,0.8075152573014797,3.86657,20.8753475305912,1.1589847575685805
996.426,10.7185115183484,0.0031412697596944947,99.9147,10.7185115183484,0.0015064091758020578,1006050,10.7185115183484,-0.012479307256846896,99.9041,10.7185115183484,-0.39468369604925296,40.362,10.7185115183484,0.809102350393992,3.8671,20.9042136134485,1.1594259350708314
996.434,10.7417782402308,0.002884063275882317,99.9156,10.7417782402308,0.002362877947119515,1006060,10.7417782402308,-0.013399305588488458,99.9044,10.7417782402308,-0.3953254087797995,40.3622,10.7417782402308,0.8112051055021221,3.86485,20.9331197709162,1.1616833887836466
996.437,10.765095268539,0.004460189956195893,99.9169,10.765095268539,0.0012979442116216589,1006040,10.765095268539,-0.012907707800266212,99.9044,10.765095268539,-0.39583018459730973,40.3619,10.765095268539,0.8133307789220575,3.86711,20.9620655766685,1.163436639636747
996.424,10.7884632427613,0.0026629875106310885,99.9167,10.7884632427613,0.0012418459139004001,1006040,10.7884632427613,-0.01329136033988581,99.9057,10.7884632427613,-0.39755937122301455,40.3625,10.7884632427613,0.8139438437628475,3.86432,20.9910516701939,1.1644851524018365
996.445,10.8118817365721,0.003970276663891332,99.9173,10.8118817365721,0.002076616773516253,1006040,10.8118817365721,-0.013192009458210127,99.9047,10.8118817365721,-0.39869898427752976,40.3624,10.8118817365721,0.8162414045213221,3.86103,21.0200776251668,1.1673041047538801
996.437,10.8353511762971,0.0033361212466625854,99.9169,10.8353511762971,0.001571267998210867,1006060,10.8353511762971,-0.013783702973241727,99.9048,10.8353511762971,-0.3990685420553892,40.362,10.8353511762971,0.8179660074846657,3.86107,21.0491438679128,1.168736499241707
996.439,10.8588713487734,0.00316660595339518,99.9156,10.8588713487734,0.0015205898812315458,1006030,10.8588713487734,-0.013166111765870214,99.9067,10.8588713487734,-0.39939741982979426,40.3623,10.8588713487734,0.8199656301896725,3.8599,21.0782501852691,1.171652854418923
996.447,10.8824428934895,0.0040798949492557605,99.9146,10.8824428934895,0.0021165347431030177,1006040,10.8824428934895,-0.01322071464374618,99.9052,10.8824428934895,-0.4011403574425822,40.3624,10.8824428934895,0.8220168190962408,3.85955,21.1073970035614,1.1732685954011919
996.443,10.9060653841198,0.003487118543991363,99.9155,10.9060653841198,0.0022205437716531157,1006040,10.9060653841198,-0.013324190821546808,99.9063,10.9060653841198,-0.4018817648294815,40.3618,10.9060653841198,0.8237528812154871,3.85904,21.1365838964639,1.1753656209313708
996.45,10.9297392469898,0.0039072570360048926,99.9135,10.9297392469898,0.002283735286878094,1006030,10.9297392469898,-0.013838993400471853,99.9049,10.9297392469898,-0.4012933371738821,40.3617,10.9297392469898,0.8257410447645912,3.85797,21.1658110771396,1.177789232404774
996.427,10.9534642689368,0.004145441321018727,99.916,10.9534642689368,0.0010295134846028684,1006020,10.9534642689368,-0.013071229954996549,99.905,10.9534642689368,-0.403512975672219,40.3618,10.9534642689368,0.8267838279517291,3.85831,21.1950787587512,1.1778751760740438
996.447,10.9772410894493,0.0037633300378680295,99.9147,10.9772410894493,0.0016558594870839818,1006040,10.9772410894493,-0.012960591804756788,99.9052,10.9772410894493,-0.4035404776463853,40.3617,10.9772410894493,0.8286459407859045,3.85789,21.2243869412987,1.1800180382278331
996.459,11.0010694953644,0.0038833417776361324,99.9157,11.0010694953644,0.001835613536150375,1006040,11.0010694953644,-0.012900259348929511,99.9034,11.0010694953644,-0.4044933064596878,40.3618,11.0010694953644,0.8305424310877875,3.85806,21.253735837945,1.181857232750203
